TRANSTEXT 9.0
PRIMARY_LANGID 5
English Text	Translated Text	Item Type
NEED_TRANSLATION 0
"'Time Spent' or 'Comment' required"	""	"label"
"Check Spelling..."	""	"menu"
"Completion"	""	"combobox"
"Invalid 'Date range'"	""	"label"
"Invalid 'End' time"	""	"label"
"Invalid 'Specific days'"	""	"label"
"Invalid 'Time of day'"	""	"label"
"Invalid task"	""	"label"
"No options selected"	""	"label"
"not set"	""	"text"
"Show completed tasks"	""	"checkbox"
"Tool Details"	""	"groupbox"
"Use legacy scrollbar positioning"	""	"checkbox"
TRANSLATED
"% Complete"	"% Hotovo"	"label"
"% of page"	"% stránky"	"combobox"
"%0.1f Kb downloaded so far (%0.1f Kb remaining)"	"Staženo %0.1f Kb (zbývá %0.1f Kb)"	"text"
"%d / %d tasks"	"%d / %d úkolů"	"text"
"%d more tasks"	"dalších %d úkolů"	"tooltip"
"%d Tasks"	"%d úkolů"	"tooltip"
"%d tasks selected"	"%d vybraných úkolů"	"text"
"%d/%d attributes remaining"	"Zbývá %d/%d atributů"	"label"
"%d/%d tools remaining"	"Zbývá %d/%d nástrojů"	"label"
"%s (Custom)"	"%s (Vlastní)"	"text"
"%s (Custom, Relative)"	"%s (Vlastní, relativní)"	"text"
"%s (Delay loaded)"	"%s (Odložené načtení)"	"text"
"%s (Fixed Columns)"	"%s (Pevné sloupce)"	"combobox"
"%s - %d tasks"	"%s - %d úkolů"	"text"
"%s ago"	"před %s"	"text"
"%s weekdays"	"%s pracovních dnů"	"text"
"%s\n%0.2f Estimated\n%0.2f Spent"	"%s\n%0.2f Odhadováno\n%0.2f Stráveno"	"tooltip"
"%s\n%d Estimated\n%d Actual"	"%s\n%d Odhadováno\n%d Skutečnost"	"tooltip"
"%s\n%d Started\n%d Completed"	"%s\n%d Zahájeno\n%d Dokončeno"	"tooltip"
"%s\n%d Tasks"	"%s\n%d úkolů"	"tooltip"
"%s\nDue %s\nCompleted %s"	"%s\nTermín %s\nDokončeno %s"	"tooltip"
"'%s' already exists.\nDo you want to replace it?"	"'%s' již existuje.\nChcete jej nahradit?"	"text"
"'%s' contained no tasks which could be imported."	"'%s' neobsahoval žádné úkoly, které by bylo možné importovat."	"text"
"'%s' could not be checked out \nbecause it is currently checked out to '%s' (Last saved: %s)."	"'%s' nebylo možné uzamknout (Check out), \nprotože je již uzamčen uživatelem '%s' (Naposledy uloženo: %s)."	"text"
"'%s' could not be checked out.\n\nPlease check that it has not been moved or deleted and that you have the required access rights."	"'%s' nebylo možné uzamknout (Check out).\n\nZkontrolujte prosím, zda nebyl soubor přesunut nebo smazán a zda máte potřebná přístupová práva."	"text"
"'%s' could not be found."	"'%s' nebyl nalezen."	"text"
"'%s' could not be opened (%d).\n\nPlease check that the file exists and that you have the appropriate access rights before trying again."	"'%s' nebylo možné otevřít (%d).\n\nZkontrolujte prosím, zda soubor existuje a zda máte příslušná přístupová práva."	"text"
"'%s' could not be opened because access to the file was denied.\n\nPlease check that you have the required permissions and try again."	"'%s' nebylo možné otevřít, protože přístup k souboru byl odepřen.\n\nZkontrolujte prosím svá oprávnění a zkuste to znovu."	"text"
"'%s' could not be opened because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' nebylo možné otevřít, protože k souboru právě přistupuje jiný uživatel\n(nebo aplikace).\n\nZkuste to prosím za chvíli znovu."	"text"
"'%s' could not be opened because it contains \nmalformed XML that the MSXML component could not interpret."	"'%s' nebylo možné otevřít, protože obsahuje \npoškozené XML, které komponenta MSXML nemohla interpretovat."	"text"
"'%s' could not be opened because it is encrypted and you do not have the encryption component installed.\n\nPlease contact AbstractSpoon Software for more information."	"'%s' nebylo možné otevřít, protože je zašifrován a nemáte nainstalovanou šifrovací komponentu.\n\nPro více informací kontaktujte AbstractSpoon Software."	"text"
"'%s' could not be opened because the method of encryption could not be determined."	"'%s' nebylo možné otevřít, protože nelze určit metodu šifrování."	"text"
"'%s' could not be opened because the network location is not currently accessible."	"'%s' nebylo možné otevřít, protože síťové umístění není momentálně dostupné."	"text"
"'%s' could not be opened due to an unexpected error (%d)."	"'%s' nebylo možné otevřít kvůli neočekávané chybě (%d)."	"text"
"'%s' could not be opened for importing.\n\nCheck that you have the necessary permissions and that the file is not open in another application."	"'%s' nebylo možné otevřít pro import.\n\nZkontrolujte, zda máte potřebná oprávnění a zda soubor není otevřen v jiné aplikaci."	"text"
"'%s' could not be saved because access to the file was denied.\n\nPlease select another filename."	"'%s' nebylo možné uložit, protože přístup k souboru byl odepřen.\n\nZvolte prosím jiný název souboru."	"text"
"'%s' could not be saved because another user\n(or application) is currently accessing the file.\n\nPlease try again in a moment."	"'%s' nebylo možné uložit, protože k souboru právě přistupuje jiný uživatel\n(nebo aplikace).\n\nZkuste to prosím za chvíli znovu."	"text"
"'%s' could not be saved because the file is read-only.\n\nPlease select another filename."	"'%s' nebylo možné uložit, protože soubor je pouze pro čtení.\n\nZvolte prosím jiný název souboru."	"text"
"'%s' could not be saved due to an unexpected error (%d)."	"'%s' nebylo možné uložit kvůli neočekávané chybě (%d)."	"text"
"'%s' could not be saved due to insufficient disk space.\n\nPlease select another filename."	"'%s' nebylo možné uložit kvůli nedostatku místa na disku.\n\nZvolte prosím jiný název souboru."	"text"
"'%s' does not appear to be a valid tasklist."	"'%s' se nezdá být platným seznamem úkolů."	"text"
"'%s' has no tasks due by the end of next month"	"'%s' nemá žádné úkoly s termínem do konce příštího měsíce"	"text"
"'%s' has no tasks due by the end of next week"	"'%s' nemá žádné úkoly s termínem do konce příštího týdne"	"text"
"'%s' has no tasks due by the end of this month"	"'%s' nemá žádné úkoly s termínem do konce tohoto měsíce"	"text"
"'%s' has no tasks due by the end of this week"	"'%s' nemá žádné úkoly s termínem do konce tohoto týdne"	"text"
"'%s' has no tasks due by today"	"'%s' nemá žádné úkoly s termínem do dneška"	"text"
"'%s' has no tasks due by tomorrow"	"'%s' nemá žádné úkoly s termínem do zítřka"	"text"
"'%s' must be checked out before it can be saved."	"'%s' musí být uzamčen (Checked out), než může být uložen."	"text"
"'Alt' key overrides 'Max Count' when dragging tasks"	"Klávesa 'Alt' při přetahování úkolů přebíjí 'Max. počet'"	"checkbox"
"'Bar' colour for tasks having no colour"	"Barva „Pruhu“ pro úkoly bez barvy"	"checkbox"
"'CTRL + click' to follow link"	"Pro následování odkazu stiskněte CTRL + kliknutí"	"tooltip"
"'Due Today' task colour"	"Farba úkolu s termínem „Dnes“"	"checkbox"
